set P := 1 2 3;
set I := a1 a2 a3;

param U :=
[1,2,*,*]:
     a1   a2   a3 :=
a1  -3  2  1 
a2   1  2  -2
a3   0  -1  0

[1,3,*,*]:
     a1   a2   a3 :=
a1   0    0    1
a2   2    -1   5
a3   1    1    -2

[2,1,*,*]:
     a1   a2   a3 :=
a1   1    -1    -2
a2   2   0     1
a3   0    2     -1

[2,3,*,*]:
     a1   a2   a3 :=
a1   2     0    9
a2   -2    9    0
a3   0     2    -1

[3,1,*,*]:
     a1   a2   a3 :=
a1   0    2     1
a2   2   1     -1
a3   -5   0    2

[3,2,*,*]:
     a1   a2   a3 :=
a1   -1   2     5
a2   0    0     -2
a3   0    0   1;

param M :=
1 12.0
2 15.0
3 14.0;
