

#########################################################################
#  data-example.dat  
#########################################################################

#####  1. GRID GEOMETRY  ################################################
# 0 = wall (black), 1 = traversable (white)
param NROWS := 7;
param NCOLS := 7;


param grid: 1 2 3 4 5 6 7:=
1         0  1  1  1  1  0  0   # row 1
2         1  1  1  0  1  1  1    # row 2
3         1  1  0  0  1  1  1    # row 3
4         0  1  0  0  0  0  1  # row 4
5         1  1  0  0  1  1  1   # row 5
6         1  1  1  0  1  0  1   # row 6
7         0  1  1  1  1  1  0 ; # row 7

#####  2. TARGET CO‑ORDINATES  ##########################################
set TARGETS :=
    (2,2)
    (2,7) 
    (5,5)
    (6,1);

#####  3. PAY‑OFF TABLES  ###############################################
param RD_capture  := 
2,2,1  100
2,2,2  100
2,2,3  100
2,2,4  100
2,2,5  100
2,2,6  100  
2,2,7  100
2,2,8  100
2,2,9  100
2,2,10  100


2,7,1  100
2,7,2  100
2,7,3  100
2,7,4  100
2,7,5  100
2,7,6  100
2,7,7  100
2,7,8  100
2,7,9  100
2,7,10  100


5,5,1  100
5,5,2  100
5,5,3  100
5,5,4  100
5,5,5  100
5,5,6  100
5,5,7  100
5,5,8  100
5,5,9  100
5,5,10  100


6,1,1  100
6,1,2  100
6,1,3  100
6,1,4  100
6,1,5  100
6,1,6  100
6,1,7  100
6,1,8  100
6,1,9  100
6,1,10  100;
param RD_no_capture := 
2,2,1   0
2,2,2   0
2,2,3   -20
2,2,4   -20
2,2,5   -20
2,2,6   -20
2,2,7   0
2,2,8   0
2,2,9   0
2,2,10  0

2,7,1     0
2,7,2     0
2,7,3     0
2,7,4     0
2,7,5     0
2,7,6     0
2,7,7     -16
2,7,8     -16
2,7,9     -16
2,7,10  -16

5,5,1  0
5,5,2  0
5,5,3  0
5,5,4  0
5,5,5  0
5,5,6  0
5,5,7  -25
5,5,8  -25
5,5,9  -25
5,5,10  -25

6,1,1  0
6,1,2  0
6,1,3  -22
6,1,4  -22
6,1,5  -22
6,1,6  -22
6,1,7  0
6,1,8  0
6,1,9  0
6,1,10  0;
param RA_capture    := 
2,2,1   -5
2,2,2   -5
2,2,3   -5
2,2,4   -5
2,2,5   -5
2,2,6   -5
2,2,7   -5  
2,2,8   -5
2,2,9   -5
2,2,10  -5

2,7,1   -5  
2,7,2   -5
2,7,3   -5
2,7,4   -5
2,7,5   -5  
2,7,6   -5
2,7,7   -5
2,7,8   -5
2,7,9   -5
2,7,10  -5

5,5,1  -5
5,5,2  -5
5,5,3  -5
5,5,4  -5
5,5,5  -5
5,5,6  -5
5,5,7  -5
5,5,8  -5
5,5,9  -5
5,5,10  -5

6,1,1    -5
6,1,2    -5
6,1,3    -5
6,1,4    -5
6,1,5    -5
6,1,6    -5
6,1,7    -5
6,1,8    -5
6,1,9    -5
6,1,10  -5;

param RA_no_capture := 
2,2,1   0
2,2,2   0
2,2,3   10
2,2,4   10
2,2,5   10
2,2,6   10
2,2,7   0
2,2,8   0
2,2,9   0
2,2,10  0

2,7,1     0
2,7,2     0
2,7,3     0
2,7,4     0
2,7,5     0
2,7,6     0
2,7,7     8
2,7,8     8
2,7,9     8
2,7,10  8

5,5,1  0
5,5,2  0
5,5,3  0
5,5,4  0
5,5,5  0
5,5,6  0
5,5,7  12
5,5,8  12
5,5,9  12
5,5,10  12

6,1,1  0
6,1,2  0
6,1,3  15
6,1,4  15
6,1,5  15
6,1,6  15
6,1,7  0
6,1,8  0
6,1,9  0
6,1,10  0;

#####  4. HORIZON  ######################################################
param TMAX := 10;

#########################################################################
