

#########################################################################
#  data-example.dat   – paste your instance here and run “ampl mod dat”.
#########################################################################

#####  1. GRID GEOMETRY  ################################################
# 0 = wall (black), 1 = traversable (white)
param NROWS := 2;
param NCOLS := 2;


param grid: 1 2:=
1         1  1 # row 1
2         1  1 ; # row 2

#####  2. TARGET CO‑ORDINATES  ##########################################
set TARGETS :=
    (1,1) ;

#####  3. PAY‑OFF TABLES  ###############################################
param RD_capture  := 
1,1  100 ;
#1,2  10 ;
param RD_no_capture := 
1,1  -5 ;
#1,2  -5 ;

param RA_capture    := 
1,1 -10;
#1,2  -10 ;

param RA_no_capture := 
1,1  10;
#1,2  10 ;

#####  4. HORIZON  ######################################################
param TMAX := 2;

#########################################################################
